Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
Simone Biles shows off Yurchenko double pike at Olympic podium training	https://www.nbcolympics.com/news/simone-biles-shows-yurchenko-double-pike-olympic-podium-training	NBC Sports	45.81	-7.46	26,225,000	Left-Center	21.0	July 22, 2021	True	0.160321				
Biden appoints special envoy to Haiti with an eye toward elections this year	https://www.mcclatchydc.com/news/politics-government/white-house/article252947638.html	McClatchy				Left-Center	22.0	July 22, 2021	True	UNK				
In America's least air-conditioned cities, brutal heat changes some peoples minds	https://www.washingtonpost.com/politics/extreme-heat-no-air-conditioning/2021/07/22/110f5c0e-e66a-11eb-a41e-c8442c213fa8_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23.0	July 22, 2021	True	-5.306936				
Where do you go after 31 years in prison? He went to Walmart and brought his subscribers	https://www.nbcnews.com/news/nbcblk/go-31-years-prison-went-walmart-brought-subscribers-rcna1383	NBC News	45.81	-7.46	26,225,000	Left-Center	24.0	July 22, 2021	True	-4.91687				
Biden administration releases COVID funds to boost local economies	https://www.reuters.com/world/us/biden-administration-releases-covid-funds-boost-local-economies-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	25.0	July 22, 2021	True	-0.739206				
Tokyo Olympics Opening Ceremony director ousted for Holocaust jokes	https://sports.yahoo.com/olympics-tokyo-opening-ceremony-director-holocaust-comments-035331346.html	Yahoo Sports	42.71	-6.6		Left-Center	26.0	July 22, 2021	False	-1.178527				
Hedge funds are outbidding first-time homebuyers by tens of thousands	https://www.nbcnews.com/business/real-estate/who-s-outbidding-you-tens-thousands-dollars-house-hedge-fund-n1274597	NBC News	45.81	-7.46	26,225,000	Left-Center	27.0	July 22, 2021	False	-4.858953				
‘Where Is the Money?’: Millions Risk Eviction Over Delayed U.S. Aid	https://www.bloomberg.com/news/articles/2021-07-22/-where-is-the-money-millions-risk-eviction-on-tardy-u-s-aid	Bloomberg	45.76	-3.04	26,673,500	Left-Center	28.0	July 22, 2021	True	CONSENT				
Biden predicts restaurants and businesses will be 'in a bind' for some time due to labor shortages	https://www.cnn.com/2021/07/21/politics/joe-biden-cnn-town-hall/index.html	CNN Politics	43.77	-8.78	79,900,000	Left	29.0	July 22, 2021	True	-9.59473				
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke	https://www.reuters.com/lifestyle/sports/japan-former-pm-abe-will-not-attend-games-opening-ceremony-nhk-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	30.0	July 22, 2021	False	0.496568				
										ERROR				
										ERROR				
										ERROR				
Jackie Mason, rabbi turned contentious comedian, has died at 93	https://www.hollywoodreporter.com/tv/tv-news/jackie-mason-rabbi-turned-contentious-comedian-dies-at-93-1234988070/	The Hollywood Reporter				Left-Center	1.0	July 24, 2021	True	2.026013				
Afghanistan curfew imposed as Taliban militants advance	https://www.bbc.com/news/world-asia-57933364	BBC News	46.44	-2.74	189,750,000	Left-Center	2.0	July 24, 2021	True	0.168521				
Four Months Ago They Were Celcebrating. Now Texas Doctors Are Once Again Preparing for the Worst.	https://www.texasmonthly.com/news-politics/texas-covid-fourth-wave-delta-variant/	Texas Monthly				Left-Center	3.0	July 24, 2021	True	LOWDATA				
Amid summer of fire and floods, a moment of truth for climate action	https://www.washingtonpost.com/climate-environment/2021/07/24/amid-summer-fire-floods-moment-truth-climate-action/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4.0	July 24, 2021	True	-6.029978				
As it happened: U.S. wins six medals in first night of swimming finals	https://www.nbcolympics.com/news/swimming-day-2-finals-highlights-live-updates-how-watch	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5.0	July 24, 2021	True	0.349262				
Chase Kalisz swims to gold, earns Team USA's first metal in Tokyo	https://www.nbcolympics.com/news/chase-kalisz-swims-gold-earns-team-usas-first-medal-tokyo#:~:text=Chase%20Kalisz%20swims%20to%20gold%2C%20earns%20Team%20USA's%20first%20medal%20in%20Tokyo,-Share%20this%20article&text=American%20swimmer%20Chase%20Kalisz%20on,Litherland%20touched%20to%20secure%20silver.	NBC Sports	45.81	-7.46	26,225,000	Left-Center	6.0	July 24, 2021	True	-1.302817				
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo	https://www.npr.org/sections/tokyo-olympics-live-updates/2021/07/24/1020110407/rebel-skateboarding-olympics-debut-tokyo-nyjah-sky-brown-sablone	NPR	46.41	-5.24	38,240,000	Left-Center	7.0	July 24, 2021	False	-4.509898				
In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come	https://www.scmp.com/news/china/politics/article/3142323/china-zhengzhou-mops-other-cities-prepare-fa-flood-havoc-come	South Korea Morning Post					8.0	July 24, 2021	True	LOWDATA				
Murders are up. Crime is not. What's going on?	https://www.vox.com/22578430/murder-crime-2020-2021-covid-19-pandemic	Vox	39.97	-11.26	13,948,400	Left	9.0	July 24, 2021	False	-5.621958				
Surge of covid delta variant poses new political threat to Biden and his agenda	https://www.washingtonpost.com/politics/biden-covid-delta-agenda/2021/07/23/11afddae-ebc0-11eb-ba5d-55d3b5ffcaf1_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10.0	July 24, 2021	True	-1.113725				
The five largest burning wildfires in the U.S.	https://www.cbsnews.com/news/five-largest-burning-wildfires-in-the-country/	CBS News	48.04	-3.14	24,400,000	Left-Center	11.0	July 24, 2021	True	-3.885074				
Atlantic City Is Just The Latest Place To Shut Down Its Needle Exchange Amid A Deadly Rise In US Overdose Deaths	https://www.buzzfeednews.com/article/danvergano/atlantic-city-shutters-needle-exchange	Buzzfeed News	43.3	-8.17	11,060,000	Left-Center	12.0	July 24, 2021	False	-1.657657				
Team USA goes medal-less in Day 1 of Summer Olympics for first time in 49 years	https://sports.yahoo.com/team-usa-medal-drought-day-1-summer-olympics-49-years-104942695.html	Yahoo Sports	42.71	-6.6		Left-Center	13.0	July 24, 2021	True	1.465427				
Team USA qualifies fourth for men's gymnastics final in Tokyo	https://www.nbcolympics.com/news/team-usa-qualifies-fourth-mens-gymnastics-final-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	14.0	July 24, 2021	True	1.516539				
Heart-wretching': inside a hospital grappling with Delta and vaccine hesitancy	https://www.theguardian.com/us-news/2021/jul/24/tennessee-coronavirus-covid-delta-variant-cases-vaccines	The Guardian	44.42	-9.93	88,750,000	Left-Center	15.0	July 24, 2021	True	-9.591722				
Anatomy of a monster: How the Dixie fire became California's biggest of the year	https://www.latimes.com/california/story/2021-07-24/how-the-dixie-fire-became-californias-largest-of-the-year-so-far	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	16.0	July 24, 2021	True	LOWDATA				
Vatican reveals property holdings for first time in transparency drive	https://www.reuters.com/world/europe/vatican-reveals-property-holdings-first-time-transparency-drive-2021-07-24/	Reuters	49.3	-1.65	40,574,000	Neutral	17.0	July 24, 2021	True	-0.223168				
Thousands join Pride event in Hungary as LGBTQ people face growing hostility	https://www.cnn.com/2021/07/24/europe/budapest-hungary-pride-protest-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	18.0	July 24, 2021	True	-15.210538				
USWNT rebounds from loss with 6-1 win over New Zealand	https://www.nbcnewyork.com/news/sports/tokyo-summer-olympics/uswnt-rebounds-from-loss-with-6-1-win-over-new-zealand/3172446/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	19.0	July 24, 2021	True	1.311152				
Florida leads U.S. in COVID-19 cases as hospitalizations surge	https://www.wsj.com/articles/florida-leads-u-s-in-covid-19-cases-as-hospitalizations-surge-11627131600	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	20.0	July 24, 2021	True	LOWDATA				
Wildfire smoke blowing across the U.S. is more toxic than we thought	https://www.nationalgeographic.com/environment/article/wildfire-smoke-blowing-across-country-more-toxic-than-we-thought	National Geographic	46.11	-2.58		Pro-Science	21.0	July 24, 2021	True	-4.728708				
More than 130 dead in India as rain trigger floods, landslides	https://www.cnn.com/2021/07/23/india/floods-landslides-maharashtra-intl-hnk/index.html	CNN	43.77	-8.78	79,900,000	Left	22.0	July 24, 2021	True	-2.911637				
The baby was gravely ill. Rapid sequencing turned around a diagnosis in 13 hours - and pointed to a treatment	https://www.statnews.com/2021/07/22/rapid-sequencing-baby-diagnosis-13-hours/	STAT	44.86	-2.7		Left-Center	23.0	July 24, 2021	False	-1.564213				
Tokyo Olympics Day 1 Roundup: U.S. still seeking first medal	https://www.nbcolympics.com/news/tokyo-olympics-day-1-roundup-us-still-seeking-first-medal	NBC Sports	45.81	-7.46	26,225,000	Left-Center	24.0	July 24, 2021	True	-0.511611				
Patience has worn thin: Frustration mounts over vaccine holdouts	https://www.washingtonpost.com/health/2021/07/23/anger-targets-vaccine-holdouts-delta-surge/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	25.0	July 24, 2021	True	-7.988647				
Stonehenge may lose world heritage status	https://www.theguardian.com/uk-news/2021/jul/23/stonehenge-may-be-next-uk-site-to-lose-world-heritage-status	The Guardian	44.42	-9.93	88,750,000	Left-Center	26.0	July 24, 2021	False	-3.498798				
Althletes react as tradition, modern spectacle converge at 2020 Tokyo Olympic Games Opening Ceremony	https://www.nbcolympics.com/news/athletes-react-tradition-modern-spectacle-converge-2020-tokyo-olympic-games-opening-ceremony	NBC Sports	45.81	-7.46	26,225,000	Left-Center	27.0	July 24, 2021	False	-2.573196				
Haiti's Slain President's Funeral Marked by Rage, Protests	https://www.wsj.com/articles/haitis-slain-presidents-funeral-marked-by-rage-protests-11627062203	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	28.0	July 24, 2021	True	LOWDATA				
Oregon communities struggle to hold off the Bootleg fire, the largest blaze in the U.S.	https://www.latimes.com/world-nation/story/2021-07-23/oregon-communities-struggle-to-control-the-bootleg-fire-now-the-largest-in-the-u-s	Los Angeles Times				Left-Center	29.0	July 24, 2021	True	LOWDATA				
Photos: Highlights Of The Tokyo Summer Olympics Opening Ceremony	https://www.npr.org/sections/pictureshow/2021/07/23/1019656439/photos-tokyo-summer-olympics-games-opening-ceremony-tonga-pita	NPR	46.41	-5.24	38,240,000	Left-Center	30.0	July 24, 2021	False	-0.329534				
										ERROR				
The Delta Variant Upends the World’s Pandemic Response	https://www.wsj.com/articles/thedeltavariant-upends-the-worlds-pandemic-response-11627225200	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	1.0	July 25, 2021	True	LOWDATA				
Summer Olympics 2021: What to Watch for on Day 3 in Tokyo	https://bleacherreport.com/articles/2946324-summer-olympics-2021-what-to-watch-for-on-day-3-in-tokyo	Bleacher Report				Left-Center	2.0	July 25, 2021	True	-3.038362				
Devastating': Dixie Fire, California's largest wildfire, devours multiple homes	https://www.sfgate.com/california-wildfires/article/Dixie-Fire-Indian-Falls-California-wildfire-16338301.php	SF Gate	46.06	-1.52	8,684,700	Left-Center	3.0	July 25, 2021	True	-0.591645				
Bob Moses, 1960s civil rights leader who saw math as road to eqality, dies at 86	https://www.washingtonpost.com/local/obituaries/bob-moses-dead/2021/07/25/0d2ae144-c3a2-11e5-a4aa-f25866ba0dc6_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4.0	July 25, 2021	True	-11.48295				
At 101, judo coaching great Yosh Uchida still isn’t done helping Olympians	https://www.latimes.com/sports/olympics/story/2021-07-25/judo-coaching-great-yosh-uchida-tokyo-olympics	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	5.0	July 25, 2021	True	LOWDATA				
Pelosi taps Kinzinger to serve on Jan. 6 panel	https://thehill.com/homenews/house/564716-pelosi-taps-kinzinger-to-serve-on-jan-6-probe	The Hill	44.99	-0.38	24,400,000	Neutral	6.0	July 25, 2021	True	-0.793282				
In Alabama and Louisiana, partisan opposition to vaccine surges alongside Delta variant	https://www.politico.com/news/2021/07/24/covid-vaccine-push-rural-500717	Politico	43.35	-7.19	23,750,000	Left-Center	7.0	July 25, 2021	False	4.495224				
California's largest wildfire forces evacuations amid rapid spread	https://abcnews.go.com/US/dixie-fire-californias-largest-forces-evacuations-amid-rapid/story?id=79047274	ABC News	47.28	-4.9	39,500,000	Left-Center	8.0	July 25, 2021	True	-1.152586				
Robert Moses, influential civil rights figure and FIU professor, dead at 86	https://www.miamiherald.com/news/local/obituaries/article253011433.html	Miami Herald	46.7	-3.86		Left-Center	9.0	July 25, 2021	True	UNK				
U.S. men's basketball stunned by Fournier, France in opener	https://www.nbcolympics.com/news/us-mens-basketball-stunned-fournier-france-opener	NBC Sports	45.81	-7.46	26,225,000	Left-Center	10.0	July 25, 2021	True	-1.012076				
U.S offers further air support to Afghan troops amid Taliban offensive	https://www.reuters.com/world/asia-pacific/us-offers-further-air-support-afghan-troops-amid-taliban-offensive-2021-07-25/	Reuters	49.3	-1.65	40,574,000	Neutral	11.0	July 25, 2021	True	0.596236				
Wildfires rage in the West, destroy homes in small California community	https://www.foxnews.com/us/wildfires-destroy-homes-california	FOX News	35.76	14.86	133,150,00	Right	12.0	July 25, 2021	True	0.416378				
U.S. House Speaker Pelosi names Republican Kinzinger to Jan. 6 panel	https://www.reuters.com/world/us/us-house-speaker-pelosi-may-invite-republican-kinzinger-onto-jan-6-panel-2021-07-25/	Reuters	49.3	-1.65	40,574,000	Neutral	13.0	July 25, 2021	True	-1.811451				
What will happen to the Surfside building collapse site?	https://www.cnn.com/2021/07/25/us/surfside-collapse-site-future-memorial/index.html	CNN	43.77	-8.78	79,900,000	Left	14.0	July 25, 2021	True	LOWDATA				
Homes destroyed in California as wildfires continue to rage	https://www.nbcnews.com/news/us-news/multiple-homes-destroyed-california-s-dixie-fire-blazes-continue-rage-n1274953	NBC News	45.81	-7.46	26,225,000	Left-Center	15.0	July 25, 2021	True	-2.533742				
Team USA falls to France at Tokyo Games for first Olympic men's basketball loss since 2004	https://www.espn.com/olympics/story/_/id/31882240/team-usa-falls-france-first-olympic-men-basketball-loss-2004	ESPN				Left-Center	16.0	July 25, 2021	True	1.024366				
The Arch Deluxe Was a Hell of a Burger. It Was Also McDonald’s Most Expensive Flop.	https://www.eater.com/22584033/mcdonalds-arch-deluxe-burger-discontinued-marketing-flop-andrew-selvaggio	Eater					17.0	July 25, 2021	False	-9.975103				
Tokyo Olympics Day 2 Roundup: Expected and unexpected U.S. medals	https://www.nbcolympics.com/news/tokyo-olympics-day-2-roundup-expected-and-unexpected-us-medals	NBC Sports	45.81	-7.46	26,225,000	Left-Center	18.0	July 25, 2021	True	-1.797285				
The pandemic is 'spiraling out of control' due to unvaccinated people, Trump administration official says	https://www.cnn.com/2021/07/25/health/us-coronavirus-sunday/index.html	CNN	43.77	-8.78	79,900,000	Left	19.0	July 25, 2021	True	-0.146661				
Montana Wildfire Fight Draws Help From Other States	https://www.npr.org/2021/07/24/1020207430/montana-wildfire-fight-draws-help-from-other-states-as-much-of-the-west-burns	NPR	46.41	-5.24	38,240,000	Left-Center	20.0	July 25, 2021	True	-3.858279				
Why border patrol is doing more to rescue and identify missing immigrants	https://www.latimes.com/world-nation/story/2021-07-25/why-border-patrol-is-doing-more-to-rescue-and-identify-missing-migrants	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	21.0	July 25, 2021	True	LOWDATA				
The surprising past, unlikely present, and uncertain future of Christmas in July	https://www.vox.com/culture/22577905/christmas-in-july-sale-history-2021-pandemic	Vox	39.97	-11.26	13,948,400	Left	22.0	July 25, 2021	False	-7.489522				
Amid summer of fire and floods, a moment of truth for climate action	https://www.washingtonpost.com/climate-environment/2021/07/24/amid-summer-fire-floods-moment-truth-climate-action/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23.0	July 25, 2021	True	-6.029978				
Four Months Ago They Were Celebrating. Now Texas Doctors Are Once Again Preparing for the Worst.	https://www.texasmonthly.com/news-politics/texas-covid-fourth-wave-delta-variant/	Texas Monthly				Left-Center	24.0	July 25, 2021	False	LOWDATA				
Afghanistan curfew imposed as Taliban militants advance	https://www.bbc.com/news/world-asia-57933364	BBC News	46.44	-2.74	189,750,000	Left-Center	25.0	July 25, 2021	True	0.168521				
Jackie Mason, Rabbi Turned Contentious Comedian, Dies at 93	https://www.hollywoodreporter.com/tv/tv-news/jackie-mason-rabbi-turned-contentious-comedian-dies-at-93-1234988070/	The Hollywood Reporter				Left-Center	26.0	July 25, 2021	False	2.026013				
As it happened: U.S. wins six medals in first night of swimming finals	https://www.nbcolympics.com/news/swimming-day-2-finals-highlights-live-updates-how-watch	NBC Sports	45.81	-7.46	26,225,000	Left-Center	27.0	July 25, 2021	False	0.349262				
Chase Kalisz swims to gold, earns Team USA's first medal in Tokyo	https://www.nbcolympics.com/news/chase-kalisz-swims-gold-earns-team-usas-first-medal-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	28.0	July 25, 2021	False	-1.302817				
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo	https://www.npr.org/sections/tokyo-olympics-live-updates/2021/07/24/1020110407/rebel-skateboarding-olympics-debut-tokyo-nyjah-sky-brown-sablone	NPR	46.41	-5.24	38,240,000	Left-Center	29.0	July 25, 2021	False	-4.509898				
In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come	https://www.scmp.com/news/china/politics/article/3142323/china-zhengzhou-mops-other-cities-prepare-fa-flood-havoc-come	South China Morning Post	42.15	-3.63	9,765,000	Left-Center	30.0	July 25, 2021	False	LOWDATA				
										ERROR				
										ERROR				
										ERROR				
Naomi Osaka falls in third round shocker to Marketa Vondrousova	https://www.nbcolympics.com/news/naomi-osaka-falls-third-round-shocker-marketa-vondrousova	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1.0	July 26, 2021	True	-0.989051				
North and South Korea restore hotline after a year	https://www.bbc.com/news/world-57979937	BBC News	46.44	-2.74	189,750,000	Left-Center	2.0	July 26, 2021	True	0.487603				
Extreme weather renews focus on climate change as scientists update forcasts	https://www.reuters.com/business/environment/extreme-weather-renews-focus-climate-change-scientists-update-forecasts-2021-07-26/#:~:text=Extreme%20weather%20renews%20focus%20on%20climate%20change%20as%20scientists%20update%20forecasts,-Andrea%20Januta&text=The%20list%20of%20extremes%20in,heat%20in%20Finland%20and%20Ireland.	Reuters	49.3	-1.65	40,574,000	Neutral	3.0	July 26, 2021	False	-4.121954				
A tipping point': Government officials, health groups move to require coronavirus vaccine	https://www.washingtonpost.com/health/2021/07/26/mandatory-vaccinations-urged-health-workers/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4.0	July 26, 2021	True	-3.091418				
USA's Lydia Jacoby wins surprise gold in 100m breaststroke, Lilly King takes bronze	https://www.nbcolympics.com/news/usas-lydia-jacoby-wins-surprise-gold-100m-breaststroke-lilly-king-takes-bronze	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5.0	July 26, 2021	True	0.531671				
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics	https://sports.yahoo.com/naomi-osaka-marketa-vondrousova-tokyo-olympics-upset-045625307.html	Yahoo Sports	42.71	-6.6		Left-Center	6.0	July 26, 2021	True	-0.288571				
Severe breakthrough infections remain very rare, despite rising concerns	https://www.nationalgeographic.com/science/article/severe-breakthrough-infections-remain-very-rare-despite-rising-concerns	National Geographic	46.11	-2.58		Pro-Science	7.0	July 26, 2021	True	-0.453007				
Infrastructure-bill negotiators try to overcome late hurdles	https://www.wsj.com/articles/infrastructure-bill-negotiators-try-to-overcome-late-hurdles-11627332236	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	8.0	July 26, 2021	True	LOWDATA				
Heat wave bringing triple-digit temperatures from the Pacific to the Gulf Coast this week	https://www.cnn.com/2021/07/26/weather/heat-wave-us-plains-forecast-monday/index.html	CNN	43.77	-8.78	79,900,000	Left	9.0	July 26, 2021	True	4.490702				
Police identify final missing victim from Surfside condo collapse, which killed 98	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article253036578.html	Miami Herald	46.7	-3.86		Left-Center	10.0	July 26, 2021	True	UNK				
U.S. finishes fifth in men's gymnastics team final for third straight Olympics	https://www.nbcsports.com/washington/tokyo-olympics/us-mens-gymnastics-finish-5th-third-straight-olympics	NBC Sports	45.81	-7.46	26,225,000	Left-Center	11.0	July 26, 2021	True	1.599372				
What it feels like to win your country's first gold in 100 years	https://www.youtube.com/watch?v=MgGBJrCKdm8	NBC Sports	45.81	-7.46	26,225,000	Left-Center	12.0	July 26, 2021	True	LOWDATA				
Experts warn unvaccinated are greatest threat to pandemic recovery	https://thehill.com/policy/healthcare/564879-experts-warn-unvaccinated-are-greatest-threat-to-pandemic-recovery	The Hill	44.99	-0.38	24,400,000	Neutral	13.0	July 26, 2021	True	3.451755				
New Vaccine Mandates Are Coming For Government Employees And Health Care Workers	https://www.npr.org/2021/08/02/1023809875/states-ban-covid-vaccine-mandates	NPR	46.41	-5.24	38,240,000	Left-Center	14.0	July 26, 2021	True	-2.295896				
High-stakes infrastructure talks stall out as deadline passes	https://www.politico.com/news/2021/07/26/bipartisan-infrastructure-talks-pivotal-week-500735	Politico	43.35	-7.19	23,750,000	Left-Center	15.0	July 26, 2021	True	0.150762				
Covid-19 Vaccine Mandates Imposed on Some Government Workers	https://www.wsj.com/articles/new-york-to-require-citys-workers-get-covid-19-vaccine-or-be-tested-weekly-11627306868	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	16.0	July 26, 2021	True	LOWDATA				
Climate Scientists Meet As Flood, Fires, Droughts And Heat Waves Batter Countries	https://www.npr.org/2021/07/26/1019433734/climate-scientists-meet-as-floods-fires-droughts-and-heat-waves-batter-countries	NPR	46.41	-5.24	38,240,000	Left-Center	17.0	July 26, 2021	True	-5.826335				
Final victim in condo collapse identified as death toll rises to 98	https://www.cbsnews.com/news/surfside-condo-collapse-final-missing-victim-identified-bringing-death-toll-to-98/#:~:text=The%20final%20missing%20victim%20in,month%20after%20the%20deadly%20collapse.	CBS News	48.04	-3.14	24,400,000	Left-Center	18.0	July 26, 2021	True	-1.035566				
Biden administration says long Covid can be considered a disability under law	https://www.politico.com/news/2021/07/26/biden-administration-long-covid-disability-500739	Politico	43.35	-7.19	23,750,000	Left-Center	19.0	July 26, 2021	True	0.21988				
US concludes combat mission in Iraq as Biden meets with Iraqi prime minister	https://abcnews.go.com/Politics/us-concludes-combat-mission-iraq-biden-meets-iraqi/story?id=79067575	ABC News	47.28	-4.9	39,500,000	Left-Center	20.0	July 26, 2021	True	2.362035				
Dixie fire scorches nearly 200,000 acres, doubling in size in days	https://www.latimes.com/california/story/2021-07-26/dixie-fire-scorches-nearly-200000-acres-doubling-in-size	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	21.0	July 26, 2021	True	LOWDATA				
Dynasties damaged: Team USA has a fight on its hands	https://sports.yahoo.com/dynasties-damaged-team-usa-has-a-fight-on-its-hands-135831931.html	Yahoo Sports	42.71	-6.6		Left-Center	22.0	July 26, 2021	True	1.519364				
California wildfires: More 'extreme' activity pushes Dixie Fire close to 200,000 acres	https://www.sacbee.com/news/california/fires/article253028128.html	The Sacramento Bee				Left-Center	23.0	July 26, 2021	True	UNK				
Tunisia's democracy is rocked as president sacks parliament amid Covid crisis	https://www.cnbc.com/2021/07/26/tunisia-rocked-as-president-sacks-parliament-amid-covid-crisis.html	CNBC	45.45	-2.05	27,050,000	Left-Center	24.0	July 26, 2021	True	-3.39455				
U.S. will not lift travel restrictions, citing Delta variant -White House	https://www.yahoo.com/lifestyle/travel-safely-amid-delta-variant-190053613.html	Reuters	49.3	-1.65	40,574,000	Neutral	25.0	July 26, 2021	True	-2.975271				
A new way to visualize the surge in Covid-19 cases in the U.S.	https://www.statnews.com/2021/07/26/new-way-visualize-covid-19-case-surge-us/	STAT	44.86	-2.7		Left-Center	26.0	July 26, 2021	True	-1.781649				
Northern California wildfires merge, forcing more from their homes	https://www.latimes.com/california/story/2021-07-25/california-wildfires-merge-forcing-more-from-their-homes	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	27.0	July 26, 2021	True	LOWDATA				
Cuba protesters in Washington want President Biden to do more to pressure the regime	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article253018708.html	Miami Herald	46.7	-3.86		Left-Center	28.0	July 26, 2021	True	UNK				
Tokyo Olympics Day 3 Roundup: Pool thrillers and a skeet sweep	https://www.nbcolympics.com/news/tokyo-olympics-day-3-roundup-pool-thrillers-and-skeet-sweep	NBC Sports	45.81	-7.46	26,225,000	Left-Center	29.0	July 26, 2021	True	-1.856917				
Afghanistan civilian casualty figures at record high, UN says	https://www.theguardian.com/world/2021/jul/26/afghanistan-civilian-casualty-figures-at-record-high-un-says	The Guardian	44.42	-9.93	88,750,000	Left-Center	30.0	July 26, 2021	False	-3.96571				
										ERROR				
A medieval battle': Officers reveal horrors they faced defending Capitol on Jan. 6	https://www.politico.com/news/2021/07/27/democrats-jan-6-probe-video-and-testimony-500826	Politico	43.35	-7.19	23,750,000	Left-Center	1.0	July 27, 2021	True	-4.307355				
Wildfires are increasing health risks of already-polluted regions of the U.S., experts warn	https://www.pbs.org/newshour/health/wildfires-are-increasing-health-risks-of-already-polluted-regions-of-the-u-s-experts-warn#:~:text=u%2Ds%2Dexperts%2Dwarn-,Wildfires%20are%20increasing%20health%20risks%20of%20already%2Dpolluted,of%20the%20U.S.%2C%20experts%20warn&text=But%20there%20is%20a%20growing,and%20strokes%20among%20vulnerable%20people.	PBS Newshour				Left-Center	2.0	July 27, 2021	True	-9.844014				
Coup' in Tunisia: Why Arab Spring's last light is dimming	https://www.csmonitor.com/World/Middle-East/2021/0727/Coup-in-Tunisia-Why-Arab-Spring-s-last-light-is-dimming	The Christian Science Monitor				Neutral	3.0	July 27, 2021	True	-0.152352				
With Simone Biles out, U.S. women's gymnastics team wins silver behind Russian Olympic Committee	https://www.nbcolympics.com/news/simone-biles-out-us-womens-gymnastics-team-wins-silver-behind-russian-olympic-committee	NBC Sports	45.81	-7.46	26,225,000	Left-Center	4.0	July 27, 2021	True	3.515718				
Simone Biles explains exit from women's team final	https://www.nbcolympics.com/news/simone-biles-explains-exit-womens-team-final	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5.0	July 27, 2021	True	-0.433956				
CDC recommends masks indoors even for some vaccinated against Covid-19	https://www.statnews.com/2021/07/27/cdc-recommend-masks-indoors-even-for-those-vaccinated-against-covid-19/	STAT	44.86	-2.7		Left-Center	6.0	July 27, 2021	True	-1.209579				
Federal employees will soon need to be vaccinated or regularly tested	https://www.washingtonpost.com/business/2021/07/27/biden-vaccine-mandate-federal-employees/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7.0	July 27, 2021	True	-0.133472				
More 'good fire' could help California control future catastrophes	https://www.nationalgeographic.com/environment/article/more-good-fire-could-help-california-control-future-catastrophes#:~:text=More%20'good%20fire'%20could%20help,could%20help%20manage%20the%20risks.&text=About%20a%20third%20of%20California's,a%20part%20of%20its%20landscape.	National Geographic	46.11	-2.58		Pro-Science	8.0	July 27, 2021	True	-5.722889				
As Dixie fire doubles in size, monsoon weather brings new threats	https://www.latimes.com/california/story/2021-07-27/as-dixie-fire-doubles-monsoons-bring-new-threats	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	9.0	July 27, 2021	True	LOWDATA				
Why Workplace Covid-19 Vaccine Mandates Aren't Widespread -- Yet	https://www.wsj.com/articles/why-workplace-vaccine-mandates-arent-widespreadyet-11627404913	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	10.0	July 27, 2021	True	LOWDATA				
