Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
4 Takeaways From The Emotional 1st Select Committee Hearing On The Capitol Attack	https://www.npr.org/2021/07/28/1021113538/4-takeaways-from-the-emotional-1st-select-committee-hearing-on-the-capitol-attac	NPR	46.41	-5.24	38,240,000	Left-Center	26	July 28, 2021	TRUE				
Justice Dept: Republican Rep. Mo Brooks may be sued over Jan. 6 speech to Trump supporters	https://www.washingtonpost.com/local/legal-issues/mo-brooks-swalwell-lawsuit-trump/2021/07/27/de10122a-ee3a-11eb-bf80-e3877d9c5f06_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	27	July 28, 2021	TRUE				
England lifts travel restrictions for vaccinated Americans, Europeans	https://thehill.com/policy/international/europe/565213-england-lifts-travel-restrictions-for-vaccinated-americans	The Hill	44.99	-0.38	24,400,000	Neutral	28	July 28, 2021	TRUE				
US women's 3-on-3 basketball team makes history with gold medal in sport's Olympic debut	https://www.usatoday.com/story/sports/olympics/2021/07/28/us-womens-3-3-basketball-team-wins-gold-tokyo-games/5398822001/	USA Today	45.77	-4.12	44,075,000	Left-Center	29	July 28, 2021	TRUE				
Simone Biles withdraws from individuals all-around final at Tokyo Olympics	https://www.wsls.com/sports/2021/08/01/simone-biles-withdraws-from-floor-exercise-final-in-tokyo/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	30	July 28, 2021	FALSE				
													
													
													
Suni Lee joins exclusive club of American Olympic all-around champions	https://www.nbcolympics.com/news/suni-lee-joins-exclusive-club-american-olympic-all-around-champions	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1	July 29, 2021	TRUE				
Climate change has become real': extreme weather sinks prime US tourism site	https://www.theguardian.com/environment/2021/jul/29/lake-powell-arizona-utah-climate-crisis	The Guardian	44.42	-9.93	88,750,000	Left-Center	2	July 29, 2021	TRUE				
Swimming Day 7 roundup: First swimming world record falls	https://www.nbcolympics.com/news/swimming-day-7-roundup-first-swimming-world-record-falls	NBC Sports	45.81	-7.46	26,225,000	Left-Center	3	July 29, 2021	TRUE				
Biden pushes cash reward to get vaccinated, new rules for federal workers	https://www.reuters.com/world/us/biden-federal-worker-vaccination-push-affect-millions-2021-07-29/	REUTERS	49.3	-1.65	40,574,000	Neutral	4	July 29, 2021	TRUE				
House passes Capitol security bill, sending to Biden's desk	https://www.politico.com/news/2021/07/29/senate-capitol-security-vote-501565	Politico	43.35	-7.19	23,750,000	Left-Center	5	July 29, 2021	TRUE				
Broke again': Child tax credit payments collide with debt and eviction for working families	https://www.washingtonpost.com/dc-md-va/2021/07/28/broke-again-child-tax-credit-payments-collide-with-debt-eviction-working-families/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	6	July 29, 2021	TRUE				
Scarlett Johansson Sues Disney Over 'Black Widow' Streaming Release	https://www.wsj.com/articles/scarlett-johansson-sues-disney-over-black-widow-streaming-release-11627579278	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	7	July 29, 2021	TRUE				
Watch the first mixed-gender swimming race in Olympics history	https://www.nbcolympics.com/news/watch-first-mixed-gender-swimming-race-olympics-history	NBC Sports	45.81	-7.46	26,225,000	Left-Center	8	July 29, 2021	TRUE				
House passes $2 billion Capitol security bill in response to insurrection clearing it for Biden's signature	https://www.cnn.com/2021/07/29/politics/capitol-security-bill-senate/index.html	CNN	43.77	-8.78	79,900,000	Left	9	July 29, 2021	TRUE				
Ex-cardinal Theodore McCarrick criminally charged with sexual assault of teenager in the 1970s	https://www.washingtonpost.com/religion/2021/07/29/theodore-mccarrick-charged-sex-assault/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10	July 29, 2021	TRUE				
Biden asks Congress to extend eviction moratorium 'without delay' as expiration looms	https://www.usatoday.com/story/news/politics/2021/07/29/biden-asks-congress-extend-eviction-moratorium-without-delay/5416922001/	USA Today	45.77	-4.12	44,075,000	Left-Center	11	July 29, 2021	TRUE				
Should you be wearing a mask again? Here's a map of the Covid hot spots subject to the CDC's new guidance	https://www.cnbc.com/2021/07/28/heres-a-map-of-the-covid-hot-spots-under-the-cdcs-new-mask-guidance.html	CNBC	45.45	-2.05	27,050,000	Left-Center	12	July 29, 2021	FALSE				
228 Republican lawmakers urge Supreme Court to overrule Roe v. Wade	https://thehill.com/regulation/court-battles/565446-228-republican-lawmakers-urge-supreme-court-to-overrule-roe-v-wade	The Hill	44.99	-0.38	24,400,000	Neutral	13	July 29, 2021	TRUE				
Highlights from Suni Lee's stunning gold-medal gymnastics performance	https://www.youtube.com/watch?v=siHyh22HUAQ	NBC Sports	45.81	-7.46	26,225,000	Left-Center	14	July 29, 2021	TRUE				
Biden ignores the 'shiny objects' and nears a bipartisan win	https://www.politico.com/news/2021/07/28/biden-infrastructure-bipartisan-win-501463	Politico	43.35	-7.19	23,750,000	Left-Center	15	July 29, 2021	FALSE				
Exclusive recap: Everything you missed on Day 6 in Tokyo	https://www.youtube.com/watch?v=1k5nY9tVX2c	NBC Sports	45.81	-7.46	26,225,000	Left-Center	16	July 29, 2021	TRUE				
Sandy Hook Families Offered $33 Million Settlement by Gun Maker Remington	https://www.wsj.com/articles/sandy-hook-families-offered-33-million-settlement-by-gun-maker-remington-11627503045	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	17	July 29, 2021	FALSE				
Unraveling the Mysterious Mutations That Make Delta the Most Transmissible Covid Virus Yet	https://khn.org/news/article/unraveling-the-mysterious-mutations-that-make-delta-the-most-transmissible-covid-virus-yet/	Kaiser Health News				Unknown	18	July 29, 2021	FALSE				
Survivors of California's deadliest wildfire haunted as new blaze nears: 'I can't do it again'	https://www.washingtonpost.com/nation/2021/07/28/dixie-fire-paradise-lake-almador/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	19	July 29, 2021	TRUE				
U.S. swimming star breaks down after record-setting win	https://www.youtube.com/watch?v=gBTNvjaWVbg	NBC Sports	45.81	-7.46	26,225,000	Left-Center	20	July 29, 2021	TRUE				
Roads, broadband and bridges: Here's what's in the infrastructure agreement	https://www.usatoday.com/story/news/politics/2021/07/28/infrastructure-bill-includes-roads-bridges-broadband-under-deal/7979680002/	USA Today	45.77	-4.12	44,075,000	Left-Center	21	July 29, 2021	FALSE				
CDC reversal on indoor masking prompts experts to ask, 'Where's the data?	https://www.washingtonpost.com/health/breakthrough-infections-cdc-data/2021/07/28/dcaaa6b2-efce-11eb-a452-4da5fe48582d_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	22	July 29, 2021	FALSE				
Extreme weather is upending lives in the West. 'You walk around with this vague sense of terror.'	https://www.cnn.com/2021/07/28/weather/extreme-heat-wildfires-climate-change-impact/index.html	CNN	43.77	-8.78	79,900,000	Left	23	July 29, 2021	FALSE				
Whistleblowers detail poor conditions for migrant kids in U.S. tent camp	https://www.cbsnews.com/news/immigration-fort-bliss-migrant-children-whistleblower-complaint/	CBS News	48.04	-3.14	24,400,000	Left-Center	24	July 29, 2021	FALSE				
Swimming Day 6 roundup: Dressel sprints, Ledecky anchors	https://www.nbcolympics.com/news/swimming-day-6-roundup-dressel-sprints-ledecky-anchors	NBC Sports	45.81	-7.46	26,225,000	Left-Center	25	July 29, 2021	FALSE				
Bipartisan Infrastructure Deal Advances in Senate	https://www.wsj.com/articles/infrastructure-agreement-on-major-issues-reached-by-bipartisan-group-gop-negotiator-says-11627487459	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	26	July 29, 2021	FALSE				
Senate votes to take up infrastructure deal	https://thehill.com/homenews/senate/565365-senate-votes-to-begin-debate-on-infrastructure-deal	The Hill	44.99	-0.38	24,400,000	Neutral	27	July 29, 2021	FALSE				
What the CDC's 'substantial' and 'high' levels of Covid-19 transmission actually mean	https://www.cnn.com/2021/07/28/health/substantial-or-high-covid-19-transmission-wellness/index.html	CNN	43.77	-8.78	79,900,000	Left	28	July 29, 2021	FALSE				
Too hot to endure: See how climate change is pushing the human body to the brink	https://www.washingtonpost.com/world/interactive/2021/climate-change-humidity/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	29	July 29, 2021	FALSE				
Tunisia in turmoil as president purges officials and seizes judicial power	https://www.theguardian.com/world/2021/jul/28/tunisia-in-turmoil-as-president-purges-officials-and-seizes-judicial-power	The Guardian	44.42	-9.93	88,750,000	Left-Center	30	July 29, 2021	FALSE				
